ID,Expt,ExptA,RefShort,Ref,Location,Lat,Lon,Elev,Biome,System,Subsystem,Method,Area,Vol,Duration,Season,Year,TempMan1,TempMan2,TempMean,TempSD,TempIncr,NutrientsAdded,StressorAdded,AddTrt,AddTrtType,TrtLevel,TrtLevelType,TrtUnits,TrtValue,TrtValueUnits,Rep,LightValue,LightUnits,SamplingDay,GenTime_Days,SamplingDay_Gen,Day,Productivity,NPP sd,ER,ER sd,FluxUnits,MultipleSpecies,TaxonGrp,Taxon,SpeciesName,trophy,TrophicLev,ConsumerPresent,MaxTrophicLev,BodySizeHres,BodySizeHresUnits,BodySize,BodySizeSD,BodySizeUnits,NA,Density,DensitySD,DensityUnit,DensityOU,Biomass,BiomassUnit,BiomassVariance,BiomassVarMeasure,BiomassSD,BiomassOU,Biomass.normalized,Biomass.normalized.unit,Notes1,Notes2,PaperEnteredBy,ReviewedBy,EditedBy,DataFromAuthor
967,37,37,Dahlgren et al. 2011,"Dahlgren et al. 2011, Aquatic Ecology, 45:307-323",Bothnian Sea,64.599956,21.351814,0,Temperate,Marine,brackish,Mesocosm,NA,500,35,Winter,2007,active heating,ambient fluctuations,10,1,5,no,no,food web structure,biotic,control,control,NA,autotrophic,type,4,150,quanta/m2/s,15,0.5,30,Middle,16,4,NA,,ug C / L / d,yes,microbe,bacteria,bacteria,H,1,yes,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.78E-05,g C / L,6.50E-07,standard deviation,6.50E-07,ug C / L,27.8,ug C/L,has zoop abundance and productivity data too,NA,MO,NA,NA,NA
968,38,38,Dahlgren et al. 2011,"Dahlgren et al. 2011, Aquatic Ecology, 45:307-323",Bothnian Sea,64.599956,21.351814,0,Temperate,Marine,brackish,Mesocosm,NA,500,35,Winter,2007,active heating,ambient fluctuations,5,1,0,no,no,food web structure,biotic,experimental,experimental,NA,heterotrophic,type,4,1,quanta/m2/s,15,0.5,30,Middle,27,10,NA,,ug C / L / d,yes,microbe,bacteria,bacteria,H,1,yes,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.56E-05,g C / L,1.35E-06,standard deviation,1.35E-06,ug C / L,45.6,ug C/L,has zoop abundance and productivity data too,NA,MO,NA,NA,NA
969,38,38,Dahlgren et al. 2011,"Dahlgren et al. 2011, Aquatic Ecology, 45:307-323",Bothnian Sea,64.599956,21.351814,0,Temperate,Marine,brackish,Mesocosm,NA,500,35,Winter,2007,active heating,ambient fluctuations,10,1,5,no,no,food web structure,biotic,experimental,experimental,NA,heterotrophic,type,4,1,quanta/m2/s,15,0.5,30,Middle,47,10,NA,,ug C / L / d,yes,microbe,bacteria,bacteria,H,1,yes,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.32E-05,g C / L,1.05E-06,standard deviation,1.05E-06,ug C / L,33.2,ug C/L,has zoop abundance and productivity data too,NA,MO,NA,NA,NA
998,37,37,Dahlgren et al. 2011,"Dahlgren et al. 2011, Aquatic Ecology, 45:307-323",Bothnian Sea,64.599956,21.351814,0,Temperate,Marine,brackish,Mesocosm,NA,500,35,Winter,2007,active heating,ambient fluctuations,5,1,0,no,no,food web structure,biotic,control,control,NA,autotrophic,type,4,150,quanta/m2/s,2,1,2,Middle,7,2,NA,,NA,yes,phytoplankton,phytoplankton,B,A,1,yes,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.76E-05,g C / L,2.10E-06,standard deviation,2.10E-06,ug C / L,57.6,ug C/L,has zoop abundance and productivity data too,NA,MO,NA,NA,NA
999,37,37,Dahlgren et al. 2011,"Dahlgren et al. 2011, Aquatic Ecology, 45:307-323",Bothnian Sea,64.599956,21.351814,0,Temperate,Marine,brackish,Mesocosm,NA,500,35,Winter,2007,active heating,ambient fluctuations,10,1,5,no,no,food web structure,biotic,control,control,NA,autotrophic,type,4,150,quanta/m2/s,2,1,2,Middle,4,1,NA,,NA,yes,phytoplankton,phytoplankton,B,A,1,yes,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.10E-05,g C / L,1.75E-06,standard deviation,1.75E-06,ug C / L,41,ug C/L,has zoop abundance and productivity data too,NA,MO,NA,NA,NA
1000,38,38,Dahlgren et al. 2011,"Dahlgren et al. 2011, Aquatic Ecology, 45:307-323",Bothnian Sea,64.599956,21.351814,0,Temperate,Marine,brackish,Mesocosm,NA,500,35,Winter,2007,active heating,ambient fluctuations,5,1,0,no,no,food web structure,biotic,experimental,experimental,NA,heterotrophic,type,4,1,quanta/m2/s,2,1,2,Middle,0.1,0.05,NA,,NA,yes,phytoplankton,phytoplankton,B,A,1,yes,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.40E-05,g C / L,1.50E-06,standard deviation,1.50E-06,ug C / L,24,ug C/L,has zoop abundance and productivity data too,NA,MO,NA,NA,NA
1001,38,38,Dahlgren et al. 2011,"Dahlgren et al. 2011, Aquatic Ecology, 45:307-323",Bothnian Sea,64.599956,21.351814,0,Temperate,Marine,brackish,Mesocosm,NA,500,35,Winter,2007,active heating,ambient fluctuations,10,1,5,no,no,food web structure,biotic,experimental,experimental,NA,heterotrophic,type,4,1,quanta/m2/s,2,1,2,Middle,0.1,0.05,NA,,NA,yes,phytoplankton,phytoplankton,B,A,1,yes,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.80E-05,g C / L,-3.25E-06,standard deviation,-3.25E-06,ug C / L,18,ug C/L,has zoop abundance and productivity data too,NA,MO,NA,NA,NA
1002,37,37,Dahlgren et al. 2011,"Dahlgren et al. 2011, Aquatic Ecology, 45:307-323",Bothnian Sea,64.599956,21.351814,0,Temperate,Marine,brackish,Mesocosm,NA,500,35,Winter,2007,active heating,ambient fluctuations,5,1,0,no,no,food web structure,biotic,control,control,NA,autotrophic,type,4,150,quanta/m2/s,15,1,15,Middle,28,18,NA,,NA,yes,phytoplankton,phytoplankton,B,A,1,yes,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.00E-05,g C / L,8.25E-06,standard deviation,8.25E-06,ug C / L,40,ug C/L,has zoop abundance and productivity data too,NA,MO,NA,NA,NA
1003,37,37,Dahlgren et al. 2011,"Dahlgren et al. 2011, Aquatic Ecology, 45:307-323",Bothnian Sea,64.599956,21.351814,0,Temperate,Marine,brackish,Mesocosm,NA,500,35,Winter,2007,active heating,ambient fluctuations,10,1,5,no,no,food web structure,biotic,control,control,NA,autotrophic,type,4,150,quanta/m2/s,15,1,15,Middle,24,22,NA,,NA,yes,phytoplankton,phytoplankton,B,A,1,yes,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.10E-05,g C / L,8.25E-06,standard deviation,8.25E-06,ug C / L,51,ug C/L,has zoop abundance and productivity data too,NA,MO,NA,NA,NA
1004,38,38,Dahlgren et al. 2011,"Dahlgren et al. 2011, Aquatic Ecology, 45:307-323",Bothnian Sea,64.599956,21.351814,0,Temperate,Marine,brackish,Mesocosm,NA,500,35,Winter,2007,active heating,ambient fluctuations,5,1,0,no,no,food web structure,biotic,experimental,experimental,NA,heterotrophic,type,4,1,quanta/m2/s,15,1,15,Middle,0.1,0.05,NA,,NA,yes,phytoplankton,phytoplankton,B,A,1,yes,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.50E-06,g C / L,8.75E-07,standard deviation,8.75E-07,ug C / L,1.5,ug C/L,has zoop abundance and productivity data too,NA,MO,NA,NA,NA
1005,38,38,Dahlgren et al. 2011,"Dahlgren et al. 2011, Aquatic Ecology, 45:307-323",Bothnian Sea,64.599956,21.351814,0,Temperate,Marine,brackish,Mesocosm,NA,500,35,Winter,2007,active heating,ambient fluctuations,10,1,5,no,no,food web structure,biotic,experimental,experimental,NA,heterotrophic,type,4,1,quanta/m2/s,15,1,15,Middle,0.1,0.05,NA,,NA,yes,phytoplankton,phytoplankton,B,A,1,yes,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.50E-06,g C / L,8.75E-07,standard deviation,8.75E-07,ug C / L,1.5,ug C/L,has zoop abundance and productivity data too,NA,MO,NA,NA,NA
1858,137,137,Lefebure et al. 2013,Lefebure et al. 2013,"Umea Marine Sciences Center,Norrbyn, Sweden",63.57,19.83,1,Temperate,Marine,Marine coastal,mesocosms,NA,2000,10,Mean,0,active heating,steady state,15,0,0,no,no,nutrients,abiotic,control,control,NA,NA,NA,3,NA,NA,28,1,28,Middle,36.31,,NA,,NA,yes,microalgae,periphyton,B,A,1,yes,3,,,,,,,,,,,,,,,,,,,"(E - elevated) Terrestrial Dissolved Matter additions: TOC 0.38 umol/L/day, TOT N 0.01078 umol/L/day, TOT P 0.00247 umol/L/day, DIN 2.95 umol/L/week, DIP 0.19 umol/L/week",,,,,
1859,137,137,Lefebure et al. 2013,Lefebure et al. 2013,"Umea Marine Sciences Center,Norrbyn, Sweden",63.57,19.83,1,Temperate,Marine,Marine coastal,mesocosms,NA,2000,10,Mean,0,active heating,steady state,15,0,0,no,no,nutrients,abiotic,control,control,NA,NA,NA,3,NA,NA,31,1,31,Middle,23.41,,NA,,NA,yes,microalgae,periphyton,B,A,1,yes,3,,,,,,,,,,,,,,,,,,,(Light) Addition of terrestrial dissolved matter changed the light penetrance with depth between E and C treatments. This is shown in the paper with a figure. ,,,,,
1860,137,137,Lefebure et al. 2013,Lefebure et al. 2013,"Umea Marine Sciences Center,Norrbyn, Sweden",63.57,19.83,1,Temperate,Marine,Marine coastal,mesocosms,NA,2000,10,Mean,0,active heating,steady state,15,0,0,no,no,nutrients,abiotic,control,control,NA,NA,NA,3,NA,NA,35,1,35,Final,22,,NA,,NA,yes,microalgae,periphyton,B,A,1,yes,3,,,,,,,,,,,,,,,,,,,The NPP measurement is actually GPP,,,,,
1861,130,130,Lefebure et al. 2013,Lefebure et al. 2013,"Umea Marine Sciences Center,Norrbyn, Sweden",63.57,19.83,1,Temperate,Marine,Marine coastal,mesocosms,NA,2000,10,Mean,0,active heating,steady state,15,0,0,yes,no,nutrients,abiotic,experimental,experimental,NA,NA,NA,3,NA,NA,25,1,25,Initial,7.37,,NA,,NA,yes,microalgae,periphyton,B,A,1,yes,3,,,,,,,,,,,,,,,,,,,,,,,,
1862,130,130,Lefebure et al. 2013,Lefebure et al. 2013,"Umea Marine Sciences Center,Norrbyn, Sweden",63.57,19.83,1,Temperate,Marine,Marine coastal,mesocosms,NA,2000,10,Mean,0,active heating,steady state,15,0,0,yes,no,nutrients,abiotic,experimental,experimental,NA,NA,NA,3,NA,NA,25,1,25,Initial,35.84,,NA,,NA,yes,microalgae,periphyton,B,A,1,yes,3,,,,,,,,,,,,,,,,,,,"(C- control) Terrestrial Dissolved Matter additions: TOC 0.038 umol/L/day, TOT N 0.001078 umol/L/day, TOT P 0.000247 umol/L/day, DIN 0.59 umol/L/week, DIP 0.039 umol/L/week",,,,,
1863,130,130,Lefebure et al. 2013,Lefebure et al. 2013,"Umea Marine Sciences Center,Norrbyn, Sweden",63.57,19.83,1,Temperate,Marine,Marine coastal,mesocosms,NA,2000,10,Mean,0,active heating,steady state,15,0,0,yes,no,nutrients,abiotic,experimental,experimental,NA,NA,NA,3,NA,NA,28,1,28,Middle,7.44,,NA,,NA,yes,microalgae,periphyton,B,A,1,yes,3,,,,,,,,,,,,,,,,,,,,,,,,
1864,130,130,Lefebure et al. 2013,Lefebure et al. 2013,"Umea Marine Sciences Center,Norrbyn, Sweden",63.57,19.83,1,Temperate,Marine,Marine coastal,mesocosms,NA,2000,10,Mean,0,active heating,steady state,15,0,0,yes,no,nutrients,abiotic,experimental,experimental,NA,NA,NA,3,NA,NA,31,1,31,Middle,4.64,,NA,,NA,yes,microalgae,periphyton,B,A,1,yes,3,,,,,,,,,,,,,,,,,,,,,,,,
1865,130,130,Lefebure et al. 2013,Lefebure et al. 2013,"Umea Marine Sciences Center,Norrbyn, Sweden",63.57,19.83,1,Temperate,Marine,Marine coastal,mesocosms,NA,2000,10,Mean,0,active heating,steady state,15,0,0,yes,no,nutrients,abiotic,experimental,experimental,NA,NA,NA,3,NA,NA,35,1,35,Final,6.63,,NA,,NA,yes,microalgae,periphyton,B,A,1,yes,3,,,,,,,,,,,,,,,,,,,,,,,,
1866,137,137,Lefebure et al. 2013,Lefebure et al. 2013,"Umea Marine Sciences Center,Norrbyn, Sweden",63.57,19.83,1,Temperate,Marine,Marine coastal,mesocosms,NA,2000,10,Mean,0,active heating,steady state,19,0,4,no,no,nutrients,abiotic,control,control,NA,NA,NA,3,NA,NA,25,1,25,Initial,13.84,,NA,,NA,yes,microalgae,periphyton,B,A,1,yes,3,,,,,,,,,,,,,,,,,,,,,,,,
1867,137,137,Lefebure et al. 2013,Lefebure et al. 2013,"Umea Marine Sciences Center,Norrbyn, Sweden",63.57,19.83,1,Temperate,Marine,Marine coastal,mesocosms,NA,2000,10,Mean,0,active heating,steady state,19,0,4,no,no,nutrients,abiotic,control,control,NA,NA,NA,3,NA,NA,28,1,28,Middle,18.62,,NA,,NA,yes,microalgae,periphyton,B,A,1,yes,3,,,,,,,,,,,,,,,,,,,,,,,,
1868,137,137,Lefebure et al. 2013,Lefebure et al. 2013,"Umea Marine Sciences Center,Norrbyn, Sweden",63.57,19.83,1,Temperate,Marine,Marine coastal,mesocosms,NA,2000,10,Mean,0,active heating,steady state,19,0,4,no,no,nutrients,abiotic,control,control,NA,NA,NA,3,NA,NA,31,1,31,Middle,13.22,,NA,,NA,yes,microalgae,periphyton,B,A,1,yes,3,,,,,,,,,,,,,,,,,,,,,,,,
1869,137,137,Lefebure et al. 2013,Lefebure et al. 2013,"Umea Marine Sciences Center,Norrbyn, Sweden",63.57,19.83,1,Temperate,Marine,Marine coastal,mesocosms,NA,2000,10,Mean,0,active heating,steady state,19,0,4,no,no,nutrients,abiotic,control,control,NA,NA,NA,3,NA,NA,35,1,35,Final,16.55,,NA,,NA,yes,microalgae,periphyton,B,A,1,yes,3,,,,,,,,,,,,,,,,,,,,,,,,
1870,130,130,Lefebure et al. 2013,Lefebure et al. 2013,"Umea Marine Sciences Center,Norrbyn, Sweden",63.57,19.83,1,Temperate,Marine,Marine coastal,mesocosms,NA,2000,10,Mean,0,active heating,steady state,19,0,4,yes,no,nutrients,abiotic,experimental,experimental,NA,NA,NA,3,NA,NA,25,1,25,Initial,7.67,,NA,,NA,yes,microalgae,periphyton,B,A,1,yes,3,,,,,,,,,,,,,,,,,,,,,,,,
1871,130,130,Lefebure et al. 2013,Lefebure et al. 2013,"Umea Marine Sciences Center,Norrbyn, Sweden",63.57,19.83,1,Temperate,Marine,Marine coastal,mesocosms,NA,2000,10,Mean,0,active heating,steady state,19,0,4,yes,no,nutrients,abiotic,experimental,experimental,NA,NA,NA,3,NA,NA,28,1,28,Middle,9.11,,NA,,NA,yes,microalgae,periphyton,B,A,1,yes,3,,,,,,,,,,,,,,,,,,,,,,,,
1872,130,130,Lefebure et al. 2013,Lefebure et al. 2013,"Umea Marine Sciences Center,Norrbyn, Sweden",63.57,19.83,1,Temperate,Marine,Marine coastal,mesocosms,NA,2000,10,Mean,0,active heating,steady state,19,0,4,yes,no,nutrients,abiotic,experimental,experimental,NA,NA,NA,3,NA,NA,31,1,31,Middle,7.67,,NA,,NA,yes,microalgae,periphyton,B,A,1,yes,3,,,,,,,,,,,,,,,,,,,,,,,,
1873,130,130,Lefebure et al. 2013,Lefebure et al. 2013,"Umea Marine Sciences Center,Norrbyn, Sweden",63.57,19.83,1,Temperate,Marine,Marine coastal,mesocosms,NA,2000,10,Mean,0,active heating,steady state,19,0,4,yes,no,nutrients,abiotic,experimental,experimental,NA,NA,NA,3,NA,NA,35,1,35,Final,5.27,,NA,,NA,yes,microalgae,periphyton,B,A,1,yes,3,,,,,,,,,,,,,,,,,,,,,,,,
2311,86,85,O'Connor 2009,"O'Connor 2009, Ecology 90(2):388-392","Morehead City, NC",34.722939,-76.726044,0,Temperate,Marine,Marine coastal,Mesocosm,NA,6,14,Summer,2007,active heating,ambient fluctuations,25.7,1.5,1.2,no,no,None,none,NA,control,NA,NA,NA,4,275,NA,0,90,0,Initial,3.5,,NA,,ug O / L / g tissue / hr,no,macroalgae,brown algae,Sargassum filipendula,A,1,no,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.331666667,g wet wt / L,NA,NA,NA,NA,1.331666667,g wet wt / L,NA,NA,MO,CH,MO,Yes
2314,86,85,O'Connor 2009,"O'Connor 2009, Ecology 90(2):388-392","Morehead City, NC",34.722939,-76.726044,0,Temperate,Marine,Marine coastal,Mesocosm,NA,6,14,Summer,2007,active heating,ambient fluctuations,28.9,0.9,4.4,no,no,None,none,NA,control,NA,NA,NA,4,275,NA,0,90,0,Initial,2.5,,NA,,ug O / L / g tissue / hr,no,macroalgae,brown algae,Sargassum filipendula,A,1,no,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.921666667,g wet wt / L,NA,NA,NA,NA,1.921666667,g wet wt / L,NA,NA,MO,CH,MO,Yes
2316,86,85,O'Connor 2009,"O'Connor 2009, Ecology 90(2):388-392","Morehead City, NC",34.722939,-76.726044,0,Temperate,Marine,Marine coastal,Mesocosm,NA,6,14,Summer,2007,active heating,ambient fluctuations,25.7,1.5,1.2,no,no,None,none,NA,control,NA,NA,NA,4,275,NA,0,90,0,Initial,3.5,,NA,,ug O / L / g tissue / hr,no,macroalgae,brown algae,Sargassum filipendula,A,1,yes,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.046666667,g wet wt / L,NA,NA,NA,NA,1.046666667,g wet wt / L,NA,NA,MO,CH,MO,Yes
2319,86,85,O'Connor 2009,"O'Connor 2009, Ecology 90(2):388-392","Morehead City, NC",34.722939,-76.726044,0,Temperate,Marine,Marine coastal,Mesocosm,NA,6,14,Summer,2007,active heating,ambient fluctuations,28.9,0.9,4.4,no,no,None,none,NA,control,NA,NA,NA,4,275,NA,0,90,0,Initial,2.5,,NA,,ug O / L / g tissue / hr,no,macroalgae,brown algae,Sargassum filipendula,A,1,yes,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.393333333,g wet wt / L,NA,NA,NA,NA,-0.393333333,g wet wt / L,NA,NA,MO,CH,MO,Yes
2344,86,85,O'Connor 2009,"O'Connor 2009, Ecology 90(2):388-392","Morehead City, NC",34.722939,-76.726044,0,Temperate,Marine,Marine coastal,Mesocosm,NA,6,14,Summer,2007,active heating,ambient fluctuations,25.7,1.5,1.2,no,no,None,none,NA,control,NA,NA,NA,4,275,NA,14,90,0.155555556,Final,3.5,,NA,,ug O / L / g tissue / hr,no,macroalgae,brown algae,Sargassum filipendula,A,1,no,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.331666667,7.99,g wet wt / L,NA,NA,NA,NA,7.99,g wet wt / L,NA,NA,MO,CH,MO,Yes
